2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] null_check_transaction_id: 0 nulls en columna transaction_id
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] null_check_user_id: 0 nulls en columna user_id
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] null_check_amount: 0 nulls en columna amount
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] null_check_status: 0 nulls en columna status
2026-03-30 21:22:02 | calidad.quality_checks | INFO | Ejecutando: reglas de negocio...
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] amount_positive: 0 transacciones con amount <= 0
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] status_standardized: 0 registros con status invalido
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] no_duplicates: 0 duplicados encontrados
2026-03-30 21:22:02 | calidad.quality_checks | INFO | Ejecutando: integridad referencial...
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] referential_integrity_users: 0 transacciones sin usuario valido
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transaction_details] referential_integrity_transactions: 0 detalles sin transaccion valida
2026-03-30 21:22:02 | calidad.quality_checks | INFO | Ejecutando: freshness check...
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] freshness: Transaccion mas reciente: 2026-03-30 11:53:36.874742
2026-03-30 21:22:02 | calidad.quality_checks | INFO | ==================================================
2026-03-30 21:22:02 | calidad.quality_checks | INFO | RESUMEN DE CALIDAD
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   Total checks : 18
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   Passed       : 18 ✅
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   Failed       : 0 ❌
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   Pass rate    : 100.0%
2026-03-30 21:22:02 | calidad.quality_checks | INFO | ==================================================
2026-03-30 21:22:02 | calidad.quality_checks | INFO | ✅ Reporte guardado: logs/quality_report_20260330_212202.csv
2026-03-30 21:35:38 | ingesta.generate_data | INFO | Generando 10 usuarios...
2026-03-30 21:35:38 | ingesta.generate_data | INFO | ✅ 10 usuarios generados
2026-03-30 21:35:38 | ingesta.generate_data | INFO | Generando 10 usuarios...
